"filename", "language", "PHP", "comment", "blank", "total"
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 15, 3, 4, 22
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 40, 14, 8, 62
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\Auth\PasswordController.php", "PHP", 31, 6, 9, 46
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 27, 11, 7, 45
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 56, 8, 10, 74
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 19, 3, 6, 28
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\CarritoController.php", "PHP", 112, 44, 39, 195
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\CategoriasController.php", "PHP", 70, 23, 20, 113
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\Controller.php", "PHP", 10, 0, 5, 15
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\DireccionesController.php", "PHP", 70, 49, 25, 144
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\FrontController.php", "PHP", 14, 1, 5, 20
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\PedidoController.php", "PHP", 110, 26, 44, 180
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\ProductoController.php", "PHP", 101, 52, 28, 181
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\ProfileController.php", "PHP", 39, 9, 14, 62
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Controllers\UnregisteredController.php", "PHP", 11, 3, 5, 19
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Requests\Auth\LoginRequest.php", "PHP", 51, 21, 14, 86
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 15, 5, 4, 24
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Models\Carrito.php", "PHP", 23, 5, 8, 36
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Models\Categoria.php", "PHP", 16, 0, 6, 22
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Models\ConnectedAccount.php", "PHP", 34, 15, 7, 56
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Models\Direccion.php", "PHP", 29, 0, 8, 37
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Models\Pedido.php", "PHP", 34, 2, 9, 45
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Models\Producto.php", "PHP", 30, 4, 7, 41
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Models\User.php", "PHP", 38, 17, 10, 65
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Policies\ConnectedAccountPolicy.php", "PHP", 29, 15, 9, 53
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Providers\AppServiceProvider.php", "PHP", 12, 8, 5, 25
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\Providers\Filament\AdminPanelProvider.php", "PHP", 55, 0, 4, 59
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\View\Components\AppLayout.php", "PHP", 11, 3, 4, 18
"c:\Users\jorge\OneDrive\Escritorio\E-Dreams\e-Dreams\app\View\Components\GuestLayout.php", "PHP", 11, 3, 4, 18
"Total", "-", 2463, 456, 649, 3568
